Service,In network
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
Primary care visit to treat an injury or illness,$40 Copayment †
